iyear,property,country,attacktype1,targtype1,weaptype1
1971,1,217,7,1,8
1971,1,217,7,1,8
1971,0,209,3,2,6
1971,1,209,3,4,6
1971,1,209,3,4,6
1971,1,217,3,1,6
1971,1,217,3,1,6
1971,0,94,1,4,5
1971,0,198,1,7,13
1971,1,217,3,2,6
1971,1,209,3,4,6
1971,1,11,2,3,5
1971,1,217,3,7,6
1971,1,217,7,8,8
1971,0,217,3,1,6
1971,-9,217,3,2,6
1971,0,217,1,22,5
1971,0,217,2,3,5
1971,1,185,3,19,6
1971,1,217,3,18,6
1971,1,217,3,1,6
1971,1,217,3,4,6
1971,1,217,3,1,6
1971,-9,217,7,2,8
1971,1,217,3,1,6
1971,1,217,3,2,6
1971,1,217,3,8,6
1971,1,217,7,2,8
1971,1,217,3,1,6
1971,1,217,2,21,5
1971,-9,217,3,4,6
1971,1,217,7,4,8
1971,1,217,7,8,8
1971,-9,217,7,8,8
1971,1,217,3,8,6
1971,1,217,3,1,6
1971,1,217,3,1,6
1971,1,217,3,1,6
1971,1,11,2,4,5
1971,1,217,3,1,6
1971,1,217,3,1,6
1971,1,217,7,1,8
1971,0,217,1,4,9
1971,1,217,7,4,8
1971,0,217,3,2,6
1971,1,217,3,1,6
1971,1,185,3,10,6
1971,0,26,6,1,13
1971,1,209,3,4,6
1971,0,217,7,4,8
1971,1,217,3,16,6
1971,0,217,7,1,8
1971,1,94,3,7,6
1971,1,185,3,2,6
1971,1,217,3,1,6
1971,1,217,7,1,8
1971,0,217,7,8,8
1971,-9,217,7,4,8
1971,0,217,3,8,6
1971,1,362,3,1,6
1971,1,222,3,4,6
1971,1,217,3,21,6
1971,1,217,3,21,6
1971,-9,217,7,4,8
1971,1,217,3,4,6
1971,1,217,3,2,6
1971,0,185,6,7,13
1971,1,603,7,1,8
1971,1,217,3,2,6
1971,1,217,3,1,6
1971,1,217,3,8,6
1971,1,217,7,1,8
1971,0,58,1,2,6
1971,1,217,3,1,6
1971,1,217,7,1,8
1971,1,217,7,1,8
1971,1,217,7,4,2
1971,0,26,6,1,13
1971,1,217,3,14,6
1971,0,217,2,3,5
1971,1,94,2,1,5
1971,1,209,3,7,6
1971,1,78,2,4,8
1971,0,209,6,7,13
1971,1,499,7,3,8
1971,1,94,9,19,13
1971,1,499,7,3,8
1971,1,499,7,3,8
1971,1,499,7,3,8
1971,1,217,2,3,5
1971,1,217,7,1,8
1971,0,217,1,3,5
1971,0,217,7,10,8
1971,0,603,1,4,5
1971,0,11,6,1,13
1971,1,217,3,1,6
1971,1,217,3,21,6
1971,1,603,3,4,6
1971,0,217,3,3,6
1971,0,185,6,7,13
1971,1,217,2,3,5
1971,1,217,3,1,6
1971,1,185,3,16,6
1971,1,217,2,1,5
1971,1,185,3,21,6
1971,1,217,3,1,6
1971,1,217,3,1,6
1971,1,406,3,11,6
1971,1,217,3,10,6
1971,1,217,3,10,6
1971,1,185,3,2,6
1971,1,217,3,18,6
1971,1,217,3,10,6
1971,-9,217,3,7,6
1971,0,217,3,2,6
1971,1,217,3,10,6
1971,1,217,2,1,5
1971,0,217,3,2,6
1971,1,217,3,7,6
1971,1,217,3,8,6
1971,1,217,3,8,6
1971,1,217,3,1,6
1971,1,217,3,8,6
1971,0,217,7,2,8
1971,1,217,3,1,6
1971,1,185,3,1,6
1971,1,217,3,1,6
1971,1,217,3,4,6
1971,1,185,3,1,6
1971,1,217,3,2,6
1971,1,217,7,8,8
1971,1,217,3,1,6
1971,1,217,3,2,6
1971,1,217,3,2,6
1971,-9,217,3,2,6
1971,0,603,1,4,5
1971,0,603,1,4,5
1971,1,185,3,14,6
1971,1,185,3,19,6
1971,1,185,3,21,6
1971,1,217,3,1,6
1971,1,217,5,1,5
1971,1,217,3,4,6
1971,1,217,2,7,8
1971,1,209,3,1,6
1971,0,11,1,4,13
1971,1,217,7,1,8
1971,1,185,3,1,6
1971,1,217,3,1,6
1971,0,603,1,4,5
1971,1,603,3,1,6
1971,0,603,1,4,5
1971,0,603,1,4,5
1971,1,217,3,1,6
1971,0,603,1,14,5
1971,0,603,1,14,5
1971,1,217,3,1,6
1971,0,603,1,4,5
1971,0,217,9,3,13
1971,1,217,2,1,5
1971,1,217,2,21,5
1971,1,217,3,22,6
1971,1,217,3,1,6
1971,1,217,7,1,8
1971,1,217,3,1,6
1971,1,217,3,1,6
1971,1,217,3,1,6
1971,1,217,3,1,6
1971,1,217,3,1,6
1971,1,217,3,1,6
1971,1,217,3,1,6
1971,1,217,3,1,6
1971,1,217,7,1,8
1971,1,217,7,1,8
1971,1,217,7,1,8
1971,1,217,7,1,8
1971,1,217,7,1,8
1971,0,217,3,8,6
1971,1,217,2,1,5
1971,1,185,3,6,6
1971,1,217,7,2,8
1971,1,185,3,6,6
1971,0,603,1,4,5
1971,1,603,3,1,6
1971,1,217,7,1,8
1971,0,217,2,3,5
1971,1,98,4,6,6
1971,0,217,3,3,6
1971,1,217,3,2,6
1971,1,217,3,2,6
1971,0,217,2,3,5
1971,1,217,3,1,6
1971,1,217,3,1,6
1971,0,603,1,4,5
1971,0,603,1,4,5
1971,1,217,3,19,6
1971,0,36,1,7,6
1971,0,36,1,7,6
1971,1,217,3,8,6
1971,1,217,7,8,8
1971,0,217,3,4,6
1971,0,603,1,4,5
1971,0,603,1,4,5
1971,1,603,3,4,6
1971,1,217,3,1,6
1971,0,110,4,6,13
1971,1,102,3,1,6
1971,1,603,3,4,6
1971,1,603,3,14,6
1971,1,603,3,14,6
1971,0,603,1,4,5
1971,0,603,1,4,5
1971,0,603,1,4,5
1971,1,102,3,1,6
1971,1,97,3,18,6
1971,0,603,1,14,5
1971,0,603,1,4,5
1971,1,217,3,2,6
1971,0,603,1,4,5
1971,0,603,1,3,5
1971,0,217,2,3,5
1971,1,98,3,6,6
1971,0,217,7,7,8
1971,1,217,3,7,6
1971,0,94,6,2,13
1971,1,362,7,2,8
1971,1,217,7,1,8
1971,1,217,3,1,6
1971,1,217,3,4,6
1971,0,217,4,6,6
1971,0,603,1,4,5
1971,1,603,3,1,6
1971,0,603,1,4,5
1971,0,603,6,7,13
1971,0,603,1,4,5
1971,1,603,3,21,6
1971,0,603,1,4,5
1971,-9,217,7,4,8
1971,1,603,3,4,6
1971,0,102,4,6,13
1971,1,161,3,8,6
1971,1,217,2,1,5
1971,1,603,3,1,6
1971,1,94,2,4,5
1971,1,209,3,7,6
1971,1,217,3,1,6
1971,1,217,3,7,6
1971,1,217,3,8,6
1971,0,603,1,3,5
1971,0,603,1,4,5
1971,0,603,1,4,5
1971,0,603,1,4,5
1971,1,217,3,1,6
1971,1,217,2,7,5
1971,0,603,1,4,5
1971,1,603,3,1,6
1971,0,603,1,14,5
1971,1,603,3,4,6
1971,0,96,1,14,5
1971,1,217,7,8,8
1971,0,603,1,3,5
1971,1,185,3,16,6
1971,1,217,7,1,8
1971,1,603,3,1,6
1971,0,217,1,3,5
1971,1,30,7,1,8
1971,1,30,7,1,8
